                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.81362,                0.66483,                 1.3895,                0.97363,                0.96429,                0.98392,                0.79745,                0.60711,                0.51611,                   1.25,              0.0003962,              0.0003962,              0.0003962
                     83,                0.80834,                0.67525,                 1.3662,                      1,                0.95836,                0.98643,                0.82007,                 0.5874,                0.48174,                 1.2558,              0.0003764,              0.0003764,              0.0003764
                     84,                  0.786,                0.63684,                 1.3287,                0.96421,                0.96229,                0.98381,                0.79922,                0.56862,                0.48713,                  1.265,              0.0003566,              0.0003566,              0.0003566
                     85,                0.80059,                0.64522,                 1.3661,                0.95389,                0.98509,                0.98599,                0.80433,                0.57588,                0.47208,                 1.2599,              0.0003368,              0.0003368,              0.0003368
                     86,                0.76814,                0.62773,                 1.3397,                0.95341,                0.97438,                0.98519,                0.81391,                0.55694,                0.45568,                 1.2314,               0.000317,               0.000317,               0.000317
                     87,                0.82421,                0.66433,                 1.3934,                0.98795,                0.97601,                0.98738,                0.81857,                0.57443,                0.47148,                 1.2394,              0.0002972,              0.0002972,              0.0002972
                     88,                0.73243,                0.60135,                 1.3178,                0.98794,                0.97548,                0.98703,                0.81771,                0.57418,                0.46785,                 1.2364,              0.0002774,              0.0002774,              0.0002774
                     89,                0.77459,                0.62413,                 1.3445,                0.98779,                0.96346,                0.98671,                0.81164,                0.58193,                0.45658,                 1.2364,              0.0002576,              0.0002576,              0.0002576
                     90,                0.77813,                0.66846,                 1.3345,                0.98746,                0.93763,                0.98608,                0.80786,                0.55847,                0.46511,                 1.2106,              0.0002378,              0.0002378,              0.0002378
                     91,                0.66668,                0.64958,                 1.2824,                      1,                0.91264,                0.98495,                0.78735,                0.58704,                0.48536,                 1.2275,               0.000218,               0.000218,               0.000218
                     92,                0.63106,                0.56441,                 1.2475,                0.96034,                0.97619,                0.98536,                0.82015,                0.55249,                0.46172,                 1.2059,              0.0001982,              0.0001982,              0.0001982
                     93,                0.64912,                0.58902,                 1.2963,                0.97612,                0.97322,                 0.9872,                0.81745,                0.54297,                0.46359,                 1.1992,              0.0001784,              0.0001784,              0.0001784
                     94,                0.61052,                0.54495,                 1.2336,                0.97612,                0.97337,                0.98657,                0.80912,                0.55663,                0.42252,                 1.2066,              0.0001586,              0.0001586,              0.0001586
                     95,                0.63492,                0.53231,                 1.2251,                0.97544,                0.97619,                0.98716,                0.82971,                0.53242,                0.43647,                 1.1975,              0.0001388,              0.0001388,              0.0001388
                     96,                0.64818,                0.54683,                 1.2669,                0.97299,                0.97619,                 0.9881,                0.81594,                0.52896,                0.42884,                 1.1954,               0.000119,               0.000119,               0.000119
                     97,                0.57274,                0.47106,                 1.1922,                0.97538,                0.97619,                0.98876,                 0.8048,                0.53365,                0.44087,                 1.2041,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.59938,                0.49313,                 1.2361,                      1,                0.95998,                0.98859,                0.82438,                0.54649,                0.43535,                 1.2009,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.57706,                0.49283,                 1.2134,                 0.9972,                0.96429,                0.98806,                0.83313,                0.55979,                0.43274,                 1.1984,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.56484,                0.48268,                 1.2143,                0.99619,                0.96429,                0.98782,                0.83114,                0.53693,                0.43924,                 1.1853,               3.98e-05,               3.98e-05,               3.98e-05
